,Charles Dickens (17),Émile Zola (18),Fyodor Dostoyevsky (8),Jane Austen (6),Mark Twain (8),Walter Scott (18),Average
Charles Dickens (17),,86.9,71,100,74.7,74.4,81.4
Émile Zola (18),86.9,,64.5,66.1,69.2,83.6,74.06
Fyodor Dostoyevsky (8),71,64.5,,89.5,74,55.1,70.82
Jane Austen (6),100,66.1,89.5,,82.8,94.2,86.52
Mark Twain (8),74.7,69.2,74,82.8,,68.6,73.86
Walter Scott (18),74.4,83.6,55.1,94.2,68.6,,75.18
